	text	screen_name	location
330	study conduct on the impact of abortion do not provide conclusion which allow doctor and other to make statement or prediction about psychologicalproblem associate with abortion	WomensCenter_FL	Orlando, FL
331	announcement have receive funding this seed money will be use to offer free workshop to any body and every body who will seek be seek or have seek community care during after abortion English Spanish stay tune abortion workshop	soihadanabort	Canada
332	will you join Future Voices Council amp the community of peer who be interested in protect choice in Illinois the election will determine the fate of legal abortion in the post Roe era through click here to stay in the loop	PersonalPAC	Chicago, IL
333	we will do our good to schedule the abortion the same day or the follow day after have the pregnancytest perform	WomensCenter_FL	Orlando, FL
334	end abortion establish Personhood we be all continually grow from the very first moment of conception our size age or level of development do not determine our worth we be make in the ImageOfGod	ProLifeWI	Brookfield, Wisconsin
335	this be a case of abortion please guess the gestational age	IhabFathiSulima	Ihab.suliman@gmail.com 
337	all you holierthanthou magamaggot have child they have child too some be female this be what have probably already happen a daughter become pregnant too afraid to tell you say abortion become illegal you will lose both she amp her baby ignorance be nt bliss	LastStraw611	Triangle, VA
338	I get the vaccine as soon as doctor prove that they want to save life by abolish abortion and gun do tell I you be save life when you kill over baby a day doctor know child be be kill on bicycle what be they do anything about it	Timothean	Detroit, MI
339	the most preventable cause of death be abortion they could have save over million people if they never would have legalize abortion over baby a day be murder in the United States alone	Timothean	Detroit, MI
340	you do get the virus from your son you get it from God sinner get the virus if doctor want to save life they would ban abortion amp evidently clothe	Timothean	Detroit, MI
341	woman Voices of SW Florida member and ally be in front of the administration building dress in handmaidstale attire to make a silent statement on prochoice get the detail tonight on abortion law	AnnetteSNN	Tampa, FL
342	why be the cdnmedia narrative always liberal show their desperation when bring up classic conservative attack to frighten voter about abortion right right lack of ClimateAction healthcare cut to program and service austerity	BrvHrt09	Canada
343	TX Gov Abbott sign one of the most restrictive abortion bill which ban abortion after week into pregnancy here be a list of fund amp support org that may help you access safe abortion care if take effect Sept	ProChoiceATX	Austin, TX
344	NEVER believe Erin lie during cdnpoli OToole cater to very RW hard core base amp never forthepeople of Canada current CPC conservative mps vote against WomensRights abortion and filibuster against Bill to BanConversionTherapy LGBTQ LIBERAL	sparkyb1	Sept 2020: Now PERTH, ON 🇨🇦
345	a thread on this story about Texas abortion provider fund who be feel anxious and fearful about the near total ban that allow anyone to sue someone who aids or abet care bar a court order it be set to take effect next We txlege	TumaTime	Austin, TX
346	anyone that adopt Americanism will adopt secularism deism liberalism abortion gaymarriage corptocratic corruption and extreme partisanship the good thing about America be its potential to change the bad thing about America be it potential to change	CamdenRene	Louisiana, USA
347	constant reminder abortiontestimonial abortion womentellall	AbortionReviews	San Diego, CA
348	give the abortion seek mother name to group like Garda amp Zion so they can gangstalk amp terrorize she to show other what will happen to you if you obtain a legal abortion so you have doctor steal baby amp a secret adoption ring may even scar your womb	LastStraw611	Triangle, VA
349	Terror amp bullying seem to be all that DonaldTrump understand what he do get be that terrorize woman who get abortion wo stop UnplannedPregnancy you will only get they to stop tell anyone they be pregnant abortion go back underground it wo stop it	LastStraw611	Triangle, VA
350	and you magamaggot be do it for he you be terrorize people to shame they or to use they as a posterchild if you do thing we think be sin we will hunt you down I be not a pedephile amp I do not have an abortion these be the two thing that I hear about daily	LastStraw611	Triangle, VA
351	thank GregAbbott Texas abortion heartbeatbill gilead	TexasLife7	Texas, USA
352	preborn child be problem accident or mistake preborn child be human being make in the image of God savethebabyhuman valuelife EndAbortion abortion ProLife	HumanCoalition	Texas
353	preborn child be problem accident or mistake preborn child be human being make in the image of God savethebabyhuman valuelife EndAbortion abortion ProLife	HuCoAction	United States
354	CHRISTINA you want to miss this Sun Aug live with Christina share her story love music Stratford Newham abortion depress Hopeless Dark black white hackney	PottersE15	Stratford, London UK
355	a Woman Claims Kelly force she to get an abortion against her will a woman claim kelly force her to get an abortion against her will	AnyPollApp	United States
356	WOMEN it be WOMEN who take abortion pill get pretty tired of woman be erase by the woke and yes of course WOMEN can manage our own abortion healthcare if govt would get tf out of the way	nvrqt	banana republic of america
357	New Podcast Rob McConnell Interviews Barbara and Paul Gerhardt from Abortion Rights to Illegal Immigration on abortion and barbara from gerhardt illegal immigration interview mcconnell niagara ontario paul	xzoneradiotv	Crystal Beach, Ontario, Canada
359	the US have approximately million woman of child bear age if roevwade be overturn abortion would automatically become inaccessible to more than percent of they highlight and	orfonline	India
360	I never be the same abortiontestimonial abortion womentellall	AbortionReviews	San Diego, CA
361	Currently kenyan law allow abortion only if a train health professional recommend emergency treatment or believe the life or health of the mother be in danger	AfricaCheck	Africa
363	a Texas law encourage private citizen to turn in abortion provider and anyone who help anyone get an abortion start Sept they create a website for anonymous tip it would be a shame if it become unusable because of too many false tip	duprade	Pompano Beach, FL
364	Mind you the disclaimer be they profess to be christian but the prevalence of Abortion the agenda of Transgender Sickness and Sexual Deviance be push as normal behavior betray they as these so call Christians have allow these tragedy to take root	GraysonForGA	Atlanta, Georgia
365	mind you the disclaimer be they profess to be christian but the prevalence of Abortion the agenda of Transgender Sickness and Sexual Deviance be push as normal behavior betray they as these so call Christians have allow these tragedy to take root K	GraysonForGA	Atlanta, Georgia
366	PM now pampalaglag pampalaglagmed pampalaglagpill abortion abortionpill cytotec Misoprostol	ynameds_	Manila City
367	package send to Client in Pangasinan thank you for trust Us for pampalaglag order Dm or Text I pampalaglag abortion cytotec mifepristone notreadytobeamother pamparegla notready pregnancy accidentalpregnancy	CPampalaglag	Quezon City, National Capital 
368	remember our where majority of country in East and part of Northern Africa do not have measure in place to ensure improved access to abortion service in the case of West Africa most of country have no datum on the availability of service	Account4All	Cape Town, South Africa
369	best friend parent and even Uber driver could also be haul into civil court as suspect accomplice just as those accuse of witchcraft be in century Europe Joana Galarza Johnson Texas Abortion	FiLiA_charity	United Kingdom
370	abortion be murder not HEALTHCARE	AaGibbs_KU	Chicago, IL
373	LEGIT PAMPALAGLAG we have GC for proof guide safe and effective pasok sa budget unwantedpregnancy abortionph pampalaglag pamparegla pampadugo abortionpill cytotec misoprostol mifepristone mifekit raspa abortion abortionphilippine	reesemedz	+63
374	Murang pampalaglag for sale free shipping within LUZON we also ship worldwide cytotec mg available for sale guarantee safe and effective original med beware of fake med cytotec pangpalaglag abortion mifepristone pangpadugo pangparegla pamparegla	_phcytotec_	Republic of the Philippines
375	internet do your thing Texas abortion hacker hack	donaldrwinslow	Austin, TX and Rome, Italy
376	the mental health cost of Poland abortion ban via	rshea_irvine	Ann Arbor, MI
377	𝐇𝐎𝐖 𝐀𝐁𝐎𝐔𝐓 𝐘𝐎𝐔 𝐊𝐄𝐄𝐏 𝐘𝐎𝐔𝐑 𝙁𝙐𝘾𝙆𝙄𝙉𝙂 𝐌𝐎𝐔𝐓𝐇 𝐒𝐇𝐔𝐓 𝐘𝐀 𝐋𝐘𝐈𝐍 𝐋𝐈𝐋 𝘼𝘽𝙊𝙍𝙏𝙄𝙊𝙉	HATSUMEISHA	❥ A SEMI-CANON PORTRAYAL OF MIU IRUMA • NSFW THEMES AHEAD • MINORS DNI • LIT && CRACK
378	the science support the safety but the antis want you to believe abortion be this horrible thing that be bad for the pregnant person do fall for this amp similar disinformation abortion abortionaccess athomeabortion freetheabortionpill plancpill	FwdMidwifery	California
379	life lose abortion Communicable disease Cancer smoking Alcohol HIV AIDS traffic Accidents SuicideSquad seasonal flu Moms childbirth coronavirus cnn tcot	mythoughtescape	USA
380	it be hard to imagine anyone with a moral compass would advocate for baby to be physically rip apart in the womb abortion baby Court roevwade Texas USnews	conserv_tribune	United States
381	activist have claim that organ be be remove from still live foetus in program use federal funding but UPitt vehemently deny the allegation usnew uspolitic bioethic prolife research academia America USA	bioedge	Sydney
382	BOOK NOW amp join we today to hear George Christensen speak about his heroic effort to ensure defenceless baby bear alive after abortion be give the same care as any other baby bear alive auspol ausnew prolife humanright bioethic	FamilyAssn	Australia
383	my late toon the american Taliban taliban abortion	Ragingpencils	Dallas, TX
384	this be the Texas witch hunt website for abortion vigilantism	twrling	San Francisco, CA
385	sibling Aborted one day I will meet you Maddie Virginia abortion SNMAC heal	alvedaking	Atlanta, GA
386	oppose employer mandate vaccination while support restaurant mandate smoking ban be like oppose abortion while support the DeathPenalty democracy Hypocrisy	Bollinger_MD	Columbia, MO
387	this be health care this be vital to woman freedom no this be grotesque abortion abortionisnothealthcare abortionhurtswoman	JanetMorana	International
388	in a non televised hearing where public testimony be not allow the Texas House Public Health Committee just pass a bill that would severely restrict abortion medication limit its use from to doctor who violate it will face criminal penalty txlege	TumaTime	Austin, TX
389	in the name of publichealth its time government exercise policepower and end all elective abortion they should just invoke Buck v Bell and sterilize everyone seek an abortion afterwards no need to even ask permission just decide its in Government interest	DeWolfap	Lyons, NY
390	CRT no ban abortion	NARALMissouri	https://www.facebook.com/naral
391	the message Liberals could communicate here be that be not a Leader he do not command the respect of his own team as his own team ignore his state policy objective they do believe in ClimateChange or abortion but they do believe in ConversionTherapy	RealMattHopkins	Edmonton, Alberta
392	we should acknowledge that while may not personally vote to reopen the abortion debate or vote to stop ConversionTherapy he will do nothing to stop his caucus he be be use to confuse voter not inform voter about his agenda CDNpoli	RealMattHopkins	Edmonton, Alberta
393	when someone reach out to you and say they need an abortion or they have an abortion what be some way to support they bring they some good food watch their favourite movie together give they a big hug let we know how do you show your support womenonweb abortion	WoWabortionpill	Worldwide
394	what be your take on abortion just ask	rockytalwar	Chicago
395	INTERVIEW EPPC Fellow on how abortion be a betrayal of authentic feminism	EPPCdc	Washington, DC
396	learn so much from rjinstitute always a summer highlight for learn about ReproductiveJustice we need abortion inclusive SexEd it need to be include as a normal part of reprohealth	robynsch	London, ON
397	I call on the US Government to immediately BAN abortion it be no long our body or our choice you have make that clear Ban Abortions it be not their body and it be damn sure not their choice	VentSession2021	TheyAreNotHarmless
398	really look forward to all the Republicans complain about government overreach to get mad about the anonymous snitch site set up to report Texans seek or help anyone get an abortion under	LauraChapin	Denver, CO
399	Planned Parenthood deception former Abortion Workers Share Ex Planned Parenthood President Leana Wen Disillusionment via abortion	CatholicBuzz	Atlanta, USA
400	lawsuit file to Thwart Texas Abortion Ban abortion	ReeceNWrites	San Antonio, TX
401	while the Taliban and the far right in the US may seem like an odd couple there be overlap in ideology include degrade right support for religion base governance and a desire to foment resistance against western government esp the US	DFRLab	Washington, DC
402	Abortion the Slaughet of the Innocent and support by aka PlannedParenthood be not safe for the Victims go on million strong Abortion have become genocide NoWrapNoTap abstinenceinsteadofmurder babieslivesmatter opinion trend TrendingNow repost	JLMC3791	Washington, DC
403	opinion by Gerry Bowler Canadians by a to margin seem to be comfortable with live in the planet only country to have no legislation govern abortion no matter which side of the question you might be on this situation be not a good one	EpochOpinion	New York City
404	abortion culture the Thomas More Society have enter the lawsuit against Rhode Island abortion codification statute	riteaparty	Rhode Island
405	𝗔𝗩𝗔𝗜𝗟𝗔𝗕𝗟𝗘 have GROUPCHAT no raspa need Guided ka buong proseso at success rate LEGIT COD FREE SHIPPING amp RECEIPT abortion	lexiecytotec	JOIN MY GC
406	Planned Parenthood deception former Abortion Workers Share Ex Planned Parenthood President Leana Wen National Catholic Register abortion pro life plannedparenthood	PamBrink	Prescott, AZ
407	selective science too Science tell we life begin at conception yet somehow abortion be legal and million of unborn baby be kill in the womb every year stopthekille	Sange1962	England
408	pick a lane VaccineMandate abortion ProLife	indianafamily	Carmel, IN
410	check out as true factcheck abortion doublestandard prolife covid humanright lovethemboth	mike_rippy	Notre Dame, IN
411	dyk the catholic church approve of early abortion for more than year it believe a fetus take up to day to get a soul until then it be fine to abort an invading fetus inanimatus ghost of histsex still haunt wmnhist	HowSxGotScrewed	Manhattan, NY
412	racism and xenophobia have be weave into the anti abortion movement for decade despite the careful curation of its public image abortion	AntiAbWatch	Florida
413	to those of you call people who refuse the vaccine murderer I expect to see this same energy at your local abortion clinic	mattnpierce	Starr, SC
414	happy Monday reach out to we if you be struggle with a crisis pregnancy crisispregnancy womenshealth womenshealthcare health pregnancytest pregnancyoption unplannedpregnancy naturalfamilyplanne abortion	ABabysBreath	Pennsylvania, USA
415	look forward to have you prolife bootcamp prochoice apologetic abortion righttolife mondaythought	RTLmichiana	Office in South Bend, Indiana
416	feedback Thankyou for trust pampalaglag pampalaglagmed pampalaglagpill abortion abortionpill cytotec misoprostol	ynameds_	Manila City
417	abortionclinic locate in Orlando Florida the Orlando Women Center mission will always be to provide all woman and their family the high quality abortion care at the low possible cost	WomensCenter_FL	Orlando, FL
418	Emptiness I feel after get pregnant during abortiontestimonial abortion womentellall	AbortionReviews	San Diego, CA
419	month in to severe abortion restriction woman struggle with the emotional toll of Poland near total ban Polska strajkkobiet	Dhammikax	London
420	𝗛𝗼𝘄 𝗗𝗶𝗱 𝗪𝗲 𝗘𝗻𝗱 𝗨𝗽 𝗛𝗲𝗿𝗲 american woman choice in Kavanaugh hand abortion WomensRights roevwade	Dhammikax	London
421	registration open today for our fall Interprofessional Health Education course on abortion abortion be common safe and come learn all about it so you feel confident bring it into your clinical practice	MarthPaynter	Halifax, Nova Scotia
423	abortion Vaccines the use of cell from electively abort fetus make these vaccine program unethical because they exploit the innocent human being who be abort	GlassBeadPlayer	Zurich
424	Poland seven month after severe restriction against abortion come into effect woman be struggle with the emotional toll of the near total ban report on the mental health cost of Poland abortion ban	PanosCOE	Strasbourg
425	I will never be the same abortiontestimonial abortion womentellall	AbortionReviews	San Diego, CA
426	Ummm there be private medical service in every province across the country for decade now I be honestly more concerned about the regressive conservative reform party try to control people pershe abortion legislation still cdnpoli	PirateSnatch	Surrey, British Columbia
428	this issue always piss I off if you do have a vagina you do get a SAY in what I do with it be I tell you where to stick your wang Nah so mind ya business abortion	Blah30722242	Canada
430	they claim the unvaccinated be put everyone life at risk a woman right to choose to have an abortion be more than just a risk to the baby life it be fatal yet the same ppl upset about the antivaxxer the covidiot support this atrocity	AllDogsToHeaven	Edmonton, Alberta, Canada
431	year later I still mourn my son abortiontestimonial abortion womentellall	AbortionReviews	San Diego, CA
432	do follow mainly becuz admire StarTrekVoyager amp his role as Tuvok be the same as Russ he come out as hate Christians partially because they be against abortion but do want to care for live kid his assumption guess what	jamespyles	Near Boise, ID
433	do you know that of people for whom pregnancy be a possibility have use some form of birthcontrol over the course of their reproductive life or that the abortion pill be safe than Advil and Tylenol the anti choice extremist clearly do or they do care	PersonalPAC	Chicago, IL
434	sure Erin do matter what your sleazy Conservative Party of Canada CPC think enough CPC Misogyny reform CPC lead by have mp who vote against woman righttochoose abortion rightwe ReformParty christian zealot make up CPC since Harper vote liberal	sparkyb1	Sept 2020: Now PERTH, ON 🇨🇦
435	cause a spontaneous abortion in the Bible be only worth a fine ProLife ProChoice	MasterDebateNet	Google's Cloud
436	Omg this be so wholesome abortion	Bern_S_Wolf	Somewhere in the Tardis
437	if you care about child you would murder they in the mother womb PlannedParenthood abortion Hypocrite democRATS million Personal responsibility wiunion wiright wipolitic MAGA	GovEversPR	Madison, WI
438	an abortion fixation it time the find a way to turn this into a sword issue Trudeau be so out of line with where Cdn be at on pre bear human right	mike_schouten	British Columbia, Canada
439	there you go in writing double whammy it also counter the abortion put out early	DaveyWiggersAB	Lethbridge, Alberta
440	ProLife be care for living Breathing child People already on this Earth no one get an abortion because they want one it be a Harrowing Gutwrenching amp Heartbreaking decision that leave lifetime Scars on the soul I be happy to see you be open to change	RonniLaurie	Iowa, USA
442	do believe who lie thru his tooth just like Scheer amp Harper conservative be the good liar CPC Federal Conservative Party have mp who vote against abortion womensrighttochoose and filibuster against Bill to banconversiontherapy woman LGBTQ LIBERALS T	sparkyb1	Sept 2020: Now PERTH, ON 🇨🇦
443	there be a number of reason why woman choose to have an abortion the truth be you do owe an explanation to anyone regard why you choose to terminate your pregnancy	WomensCenter_FL	Orlando, FL
444	opinion any unwanted abortion be a tragedy but many canadian woman feel they do have any alternative Calgary yyc yycbiz Alberta abortion health woman	MTone123	Calgary
445	well those seem to be the issue that matter to Canadians that the be always try to change for the bad case in point the regressive conservative reform party still go after abortion	PirateSnatch	Surrey, British Columbia
446	mad panic in the House of Trudeau Umm err abortion errr ahhh healthcare oh let I just reset the thought umm do I say abortion I do ok umm sick day anybodybuttrudeau	BabblingIdjit	My safe space with my blankie.
447	I be onboard for let people make their own medical decision pro choice equal no matter what I think of a procedure I have no right to make that decision for you vaccination abortion endoflife your body be not mine	80strolls	THEPULSE, A Crypto Discord 
448	any unwanted abortion be a tragedy	troymedia	Canada
449	you can send completely anonymous tip to this website that try to enforce Texas abortion law would be a real shame if it got flood with spam report might write a tasteful Luigi x Abbott fanfic	jburrito97	Nothing Matters
450	important info regard safe abortion regard place that abortion be illegal tiktok abortion prochoice	khloebankslife	Brentwood, East
451	𝗔𝗩𝗔𝗜𝗟𝗔𝗕𝗟𝗘 have GROUPCHAT no raspa need Guided ka buong proseso at success rate LEGIT COD FREE SHIPPING amp RECEIPT abortion	pampalaglagpill	Manila
452	never believe what a conservative CPC leader lie publicly to win vote Erin state he be pro choice but mp of his conservative caucus vote against abortion for WomenChoose and against ban ConversionTherapy Votes speak truth womensright LGBTQ no CPC	sparkyb1	Sept 2020: Now PERTH, ON 🇨🇦
453	year Ago via abortion shame release forgive suicide heal grief	melhoog	Minnesota
454	Btw your totally prochoice right that whole mybodymychoice thing you fully support a woman right to choose abortion correct	chadgutstein	ÜT: 40.76885,-73.969602
455	decade after Henry Morgentaler start offer his service doctor be still struggle to help their patient write Abortion	thewalrus	Canada
456	yes we need to expose white man anti choice as what it really be an instrusive subjugation issue be against abortion may appear holy when in truth it be meddle and demonizing Peter sexual fixation extend from porn into try to force birth Exodus	RealYeshua1	TN USA Blue/Green Planet Earth
457	there be no reason for you to be involve in a decision of a strange woman take no personal and financial responsibility afford no voice whatsoever abortion be use as a political trigger issue because it appear holy but in fact be only a tool to solicit right wing vote	RealYeshua1	TN USA Blue/Green Planet Earth
458	when idealism and identity politic be more important than actually value life abortion DemocratsWhoValueLife dempoliciessavelive	WisMamaBear	Wisconsin
459	be we still talk about abortion or be you promote your own philosophy which you feel be superior to medical and legal expert in their field	RealYeshua1	TN USA Blue/Green Planet Earth
460	need help I be here with you trust and legit safe and affordable GC for proof guide DM unwantedpregnancy abortionph pampalaglag pamparegla pampadugo abortionpill cytotec misoprostol mifepristone mifekit raspa abortion abortionphilippine	reesemedz	+63
461	DYK PopeFrancis may care but he wo change catholic dogma that condemn PremaritalSex SexEd abortion BirthControl amp QueerSex he could but he wo challenge other pope infallibility he lose his histsex queerhistory wmnhist	HowSxGotScrewed	Manhattan, NY
462	abortionright abortion when stable genetic sibling amp short social tie marriage job clash modernity lack bliss	FutureWorldCen	UK
463	over woman die annually in India due to unsafe abortion ensure equal access to safe abortion can help pregnant people manage unintended pregnancy without harm their body or mental well being if you hear myth similar to this always consult a gynecologist	RightsPratigya	New Delhi, India
464	abortion will be illegal in Texas this WEDNESDAY it be good to joke about republicanjesus but the fascist be win TexasTaliban	KatEdmiston	Houston TX 
465	what be next actual WitchBurning you outlaw abortion but you care how many DIE FR DeltaVariant even child you be an evil hypocrite this will cost TexasTaliban statewide office Pharisees FakeChristians	KatEdmiston	Houston TX 
466	Texas law ban most abortion set to go into effect after court cancel hear texas law ban most abortion set to go into effect after court cancel hearing	AnyPollApp	United States
467	also product of abortion be use in the development testing manufacturing of all vax so there be ethical concern with take ANY all thus a legitimate religious exemption vichey Hard Pass	foolarch	Indianapolis, Indiana
468	I think ni place ya abortion tu MainaAndKingangi	ivy_villager	Hanover, NH USA
469	Feminism be about God and the bible because of the gender role amp bash man amp the Patriarchy abortion birth control for lustful reason clamorous amp walk around look like thot talk about rape culture and I be not ask for it	PurpleMillieMoo	Henrico
470	know that Abortions	ShThomas7	solar System1
473	study report similar safety and efficacy of Telehealth Medication Abortions in the US during compare to in person	HDouglasLaw	Melbourne, Victoria.
474	a Texas law would prohibit most abortion from as early as before most woman even know they pregnant this hour on tune in choice	MichaelHillNJ	USA
475	if become Governor he will end protection for immigrant criminalize LGBTQ shut down all clinic in the state make harmful gas and oil rich criminalize Abortions outlaw weed he a danger to California	CoryShilts	Atlanta, GA
476	in July the longtime director of the Boulder Abortion Clinic in Colorado Warren Hern write a poignant piece in on the incredibly kindhearted sensitivity he amp his staff have for patient undergo advanced gestational abortion	RuralLefty	OR ⬅️CHI ⬅️CO ⬅️NYC-Adoptee
477	I be start to believe the Corp LibCon handler have a ploy they roll out in if it be evident NDP the left be rise Oligarchy demand the least popular engage the FEAR abortion or religion or austerity or HEALTHCARE BOOM	savoirfaire_2	Abbotsford BC Canada
478	People who be on the right be nuts be on the Right there be no human right in America we want our Congress to prevent abortion we want a return to WhiteAmerica noimmigrantsallowedhere maybe they blow up the Statue of Liberty next	ArchiPatriot72	Traveling: either LA or NYC
479	Religion do come into play commissioner say as they consider a plan to ban abortion the Constitution do well the Amendment right to privacy protect a woman liberty to choose whether or not to have an abortion	DemocratManatee	435 Cortez Road West, Bradenton, FL 34207
480	no one should take an arm of the seriously this be a government org that taxpayer to sterilization and abortion overseas in poor country cuban doctor to be traffic as slave cover for the CCP	rachelsemmel	Washington, DC
481	from the Theological Fascist Dystopia of Abbottstan Texas right to life set up site ask for anonymous tip on people who get or offer abortion via waronwoman WomenRights womenshealth BodilyAutonomy	LostMapleTX	San Antonio, TX
482	US Carolyn Maloney D NY and the Pro choice Caucus file last week a resolution to an exist in person regulation on the use of mifepristone in abortion potentially allow use of telehealth for this drug	CTeLTweets	Washington, D.C.
484	it be funny that liberal say my body my choice when it come to carry a live baby but when it come to take a vaccine make in China they want to force we to do that Liberalism be a mental illness covidvaccine abortion	countryguybruns	Broken Arrow, OK
485	the man who light the Empire State Building to celebrate abortion for full term baby will be judge CuomoFarewell	Annbee59978403	United States
488	we wrap up our video series with this reminder from of despite all the progress a lot still need to be do to make safe abortion a reality for woman in India	IDFtweetz	New Delhi, India
489	attend Public Health Committee formal committee hearing re to block illegal mail order abortion prolife txlege	kyleenwright	Texas
490	I standwithems we be suppose to be free free to choose HELLO Same Strive you be take for abortion you should amp must take with Vaccines mybodymychoice that MOTO STOP ok stopthevaccinemandate again if you believe mybodymychoice	Hakatoi_	Maine, USA
492	AbbottFailedTexas push the most restrictive VoterSuppression law in the country he claim to support mybodymychoice for vaccine but not abortion I ca spread pregnancy abbottfailedtexasagain by fight MaskMandates in school AbbottResign amp	TXWomenRESIST	Austin, TX
493	woman have abortion for many reason none of they be any of conservative leader Erin business Heather Mallick the CPC would deny a woman control of her own body and cancel the lpc affordable childcare program cdnpoli	marlawd	Toronto, Canada
494	woman who will die from botched abortion be not prolife where be the man in this scenario why be they force to use birth control or penalize if they do this be pure sexism and misogyny and a fascist state create to spy on Americans	cvptexas	Fort Worth, Texas 🐮
495	today reading for the people America be leave behind in Afghanistan pray DailyMass catholic christian Prolife DailyMass mondaymotivation MotivationMonay Faith LeftBehind	DailyMass	USA
496	live on AIR today at pm pray with we on or Twitter Jesus Mary StJoseph Rosary praytherosary catholic ProLife CatholicTwitter	irosaryradio	🌏🌍🌎🇻🇦
497	the word of spring to mind ReligiousFreedom ProLife	RockofLifeNI	Northern Ireland 
498	a major win for the prolife movement and unborn child everywhere alpolitic	alabamapolicy	Birmingham, AL
499	ProLife from day embryo to year human and so tremendously important first month sharedfact semantic EmotionLogic justice CollectiveBehavior CommunityProsperity	allentien	Baltimore, 地球, Cape Breton           P(A|B)=P(B|A)P(A)/P(B)
500	the Texas Heartbeat Act by and will become law on Wednesday attempt to prevent the bill implementation have be thwart by the Fifth Circuit txlege we have be and always will be relentlessly ProLife	TexasSenateGOP	Austin, TX
501	you I and many other truly value AllLife from the womb to the tomb ProLife be just probirth it be AntiDeath by any mean other than time stopkillingpeople	ArlingtonLaws	Central Ohio
502	if you be for stay in Afghanistan you be not ProLife if you wo wear a mask you be not ProLife if you wo take a perfectly safe vaccine you be not ProLife if you want to do nothing on gun control you be not ProLife	igno_us	Rhode Island, USA
503	when you have the opportunity to make a difference in someone life you should take it and that mean graciously let they know what you against and what you for prolife t	EqualRightsInst	Charlotte, NC
504	his reply be the ProLife way of say we only torture a few little girl so it cool	gallowglass321	Texas, USA
505	HUGE news out of Texas this weekend start Wednesday it look like Texas will get to enforce its heartbeat law and save baby life prolife texas chooselife	micaiah157	United States
506	teach your child the value of life in the womb if we do not the world will lie to they prolife teachprolife prolifeworldview alphaclinicssupporter	AlphaSupporters	Vacaville, CA 95688
507	what a disaster in there be abortion in England and Wales from which be home abortion baby kill mum with heartache lifefromconceptionnoexception numberoneissue ProLife Whywemarch UK London m	March4LifeUK	London, England
508	Florida police department rock by covid death as DeSantis sacrifice Floridians to Moloch tcot prolife GOPProDeath DiSantisVariant molochworship EvangelicalsProDeath	TerrellDLewis	Loves Park, IL
509	God great gift ProLife Fifth Circuit cancel hear on Texas heartbeat abortion law day before it take effect FoxNews	america_blessed	God’s Country
510	unless scotus intervene the Texas Heartbeat bill will be enact Wednesday please pray that this lifesave bill become law mondaythought prolife abortionisnothealthcare	JanetMorana	International
511	do you believe through prayer we can see God shape history and end abortion violence we do join we at SCOTUS on Sat Oct as we pray for Dobbs ProLife Prayer	revmahoney	Washington, DC
512	tell we everything we need to know about the ProLife movement seriously this be the NATIONAL RELIGIOUS fire someone for try to save LIVES this be truly the era of the zombie apocalypse	MystiKate14	North Carolina, USA
513	figure today or tomorrow the conception of Mike Pence you can ask Siri or Google Assistant what be day from today if prolife will you be send the former VP a have bless conception day greeting	PsltpsNews	Mille Lacs
514	how can we lift you up in prayer today please leave your intention and we will pray for you during our daily office hour of scripture ProLife PrayerRequest stay connected with we at	TXRightToLife	God's country
515	church we need your help to get as many prolife Virginians as possible to speak up for the unborn at the Virginia March for life on would you consider sign up to bring a bus for more info vamarchforlife whywemarch	TFFVA	Richmond, VA
516	reminder while amp attend maskless fund raiser in Dorchester County community be still mourn teacher who die of since school reopen McMaster sign antimask mandate for public school not ProLife SCpol	frequentbuyer1	South Carolina/North Carolina
517	mask proof of vaccination will not be require to attend the concert the event be hold outdoors with plenty of space to spread out we trust that anyone feel sick will stay home ProLife	for_heartbeats	Wisconsin, USA
518	today reading for the people America be leave behind in Afghanistan pray DailyMass catholic christian CatholicTwitter Prolife DailyMass mondaymotivation MotivationMonay Faith LeftBehind	DailyMass	USA
519	the absurdity of equate Christians and the Taliban AfghanistanWomen ProLife WarOnTerror MeToo	ConservaTibbs	Indiana
520	congratulation to on the second pregnancy and we wish they a safe final trimester we warmly invite you to march for all the unborn this Saturday numberoneissue ProLife UK London	March4LifeUK	London, England
521	I pray kid orphan by antivax amp antimask parent refuse vax amp refuse a mask in covid be ProLife Anti covid vaccine because of politic be different from not be able be vaccinate parent risk death over their kid gutt this hcw huge needless loss kid	adeleflores12	United States
523	the millennial generation be significantly pro life and as in every year very present at the March for Life invite your friend lifefromconceptionnoexception numberoneissue ProLife Whywemarch UK London	March4LifeUK	London, England
524	you be braver than you believe strong than you think so go through the path until you reach the destination selfmotivation prolife WomenPower selflove motivation thoughtfortheday	PRO_Priya	Chennai
525	pro life ProLife	Mielfordt	San Marino, CA
526	Funny how the ProLife crowd think it be ok to impose their view on a woman when she need to make the most private personal difficult health decision in her life yet et al refuse to impose measure that be for the CommonGood so much for freedom for woman	anongeniusimmi1	MASKachusetts
527	PRAYERS ProLife Sarah Louis Dunn tragic abortion story be be ignore here be why NRL News today via	LizLife1	New York, NY
528	and plenty of Atheists be afraid of COVID because they believe when it be over it be over but they have the ETHICS to not endanger other and child be AntiVaxxers and AntiMaskers like why ca prolife say the same	BrotherLeeLuv	The caring part of your Heart
529	MAGA delusion AntiVaxxers and ProLife fraud	CarlyELehwald	Total Lesbian USA - Don't like me? Cool move on.
530	force little girl and woman to birth after rape when a week old do actually have a heart as Covid patient die and our child be in the hospital christian ProLife my ass	gallowglass321	Texas, USA
